Date,Open,High,Low,Close,Adj Close,Volume
2012-12-11,193.179993,194.800003,193.149994,194.199997,167.016998,4144000
2012-12-12,194.600006,194.750000,192.460007,192.949997,165.941956,4241900
2012-12-13,192.179993,193.050003,191.369995,191.990005,165.116333,3623200
2012-12-14,191.690002,193.399994,191.259995,191.759995,164.918549,3826900
2012-12-17,191.759995,193.910004,191.759995,193.619995,166.518143,3792400
2012-12-18,193.850006,195.919998,193.839996,195.690002,168.298462,4125900
2012-12-19,195.460007,196.449997,195.000000,195.080002,167.773819,4270500
2012-12-20,194.470001,194.949997,193.160004,194.770004,167.507217,4184500
2012-12-21,193.100006,194.500000,191.570007,193.419998,166.346146,8225300
2012-12-24,193.050003,193.830002,192.020004,192.399994,165.468948,1631200
2012-12-26,192.210007,193.529999,190.949997,191.949997,165.081940,2776500
2012-12-27,191.529999,193.279999,190.699997,192.710007,165.735535,3967600
2012-12-28,191.110001,192.220001,189.830002,189.830002,163.258682,3536600
2012-12-31,189.229996,191.679993,188.839996,191.550003,164.737915,4684900
2013-01-02,194.089996,196.350006,193.800003,196.350006,168.866058,4234100
2013-01-03,195.669998,196.289993,194.440002,195.270004,167.937195,3644700
2013-01-04,194.190002,194.460007,192.779999,193.990005,166.836380,3380200
2013-01-07,193.399994,193.779999,192.339996,193.139999,166.105377,2862300
2013-01-08,192.919998,193.300003,191.600006,192.869995,165.873154,3026900
2013-01-09,193.479996,193.490005,191.649994,192.320007,165.400131,3212000
2013-01-10,192.649994,192.960007,191.279999,192.880005,165.881775,3608100
2013-01-11,194.149994,195.000000,192.899994,194.449997,167.232010,3880400
2013-01-14,192.820007,193.279999,191.750000,192.619995,165.658142,4172200
2013-01-15,191.309998,192.729996,190.389999,192.500000,165.554947,4172100
2013-01-16,192.000000,193.179993,191.350006,192.589996,165.632324,2962900
2013-01-17,193.850006,194.460007,193.240005,193.649994,166.543976,3881600
2013-01-18,194.029999,195.000000,193.800003,194.470001,167.249222,4559600
2013-01-22,194.360001,196.080002,194.009995,196.080002,168.633835,7172300
2013-01-23,203.500000,208.580002,203.360001,204.720001,176.064468,12530500
2013-01-24,203.910004,205.059998,203.080002,204.419998,175.806442,4447200
2013-01-25,204.449997,205.179993,204.130005,204.970001,176.279495,3358900
2013-01-28,204.850006,206.220001,204.289993,204.929993,176.245056,2823700
2013-01-29,204.339996,205.729996,203.639999,203.899994,175.359253,3617100
2013-01-30,203.690002,204.880005,203.190002,203.520004,175.032410,2998400
2013-01-31,203.320007,204.470001,202.960007,203.070007,174.645447,3091400
2013-02-01,204.649994,205.350006,203.839996,205.179993,176.460068,3370700
2013-02-04,204.190002,205.020004,203.570007,203.789993,175.264618,3188800
2013-02-05,204.309998,204.750000,202.509995,202.789993,174.404617,3636900
2013-02-06,200.389999,201.289993,199.559998,201.020004,173.610077,3624200
2013-02-07,200.619995,200.910004,198.679993,199.740005,172.504578,3076700
2013-02-08,199.970001,202.089996,199.679993,201.679993,174.180069,2893300
2013-02-11,200.979996,201.949997,199.750000,200.160004,172.867310,2944700
2013-02-12,200.009995,200.740005,199.020004,200.039993,172.763687,2461800
2013-02-13,200.649994,200.949997,199.570007,200.089996,172.806885,2169800
2013-02-14,199.729996,200.320007,199.259995,199.649994,172.426849,3294200
2013-02-15,199.979996,201.250000,199.820007,200.979996,173.575500,3627800
2013-02-19,200.600006,201.889999,200.220001,200.320007,173.005524,2998300
2013-02-20,200.619995,201.720001,198.860001,199.309998,172.133209,3715400
2013-02-21,198.630005,199.070007,198.110001,198.330002,171.286835,3922900
2013-02-22,199.229996,201.089996,198.839996,201.089996,173.670517,3107900
2013-02-25,201.669998,202.490005,197.509995,197.509995,170.578659,3844800
2013-02-26,198.630005,199.899994,197.839996,199.139999,171.986420,3391600
2013-02-27,198.889999,202.750000,198.600006,202.330002,174.741425,4185100
2013-02-28,202.179993,203.119995,200.789993,200.830002,173.445984,4689200
2013-03-01,200.649994,202.940002,199.360001,202.910004,175.242355,3308300
2013-03-04,202.589996,205.190002,202.550003,205.190002,177.211472,3693400
2013-03-05,205.860001,207.699997,205.690002,206.529999,178.368729,3807800
2013-03-06,207.029999,208.490005,206.660004,208.380005,179.966476,3594800
2013-03-07,208.289993,209.600006,208.240005,209.419998,180.864685,3884400
2013-03-08,209.850006,210.740005,209.429993,210.380005,181.693787,3700500
2013-03-11,210.039993,210.199997,209.039993,210.080002,181.434692,3049700
2013-03-12,209.399994,210.729996,209.089996,210.550003,181.840591,3591600
2013-03-13,210.199997,212.360001,209.770004,212.059998,183.144684,3355900
2013-03-14,212.149994,215.860001,212.149994,215.800003,186.374741,5505500
